post_text,time,likes,shares,comments,src,fake_status,last_word,finalized,words,avg_word_length,urgent_words,post_text_tokens,final_words,stop_words,marks,exclamation_marks,Cluster
румен радев съобщи датата на изборите,14-01-21 17:12,861,19,104,petel.bg,0,изборите,True,6,5.333333333,0,"['румен', 'радев', 'съобщи', 'датата', 'на', 'изборите']","['румен', 'радев', 'съобщи', 'датата', 'на', 'изборите']",1,0,0,0
"цветанов хвърли ""бомба"": имаше подмяна на вота, докато бях в герб",12/1/2021 19:30,1359,166,479,petel.bg,1,герб,True,11,5.0,1,"['цветанов', 'хвърли', '``', 'бомба', ""''"", ':', 'имаше', 'подмяна', 'на', 'вота', ',', 'докато', 'бях', 'в', 'герб']","['цветанов', 'хвърли', '', 'бомба', '', 'имаше', 'подмяна', 'на', 'вота', 'докато', 'бях', 'в', 'герб']",3,4,0,0
румен радев: броенето на гласовете трябва да се излъчва онлайн,9/1/2021 12:58,1751,59,221,petel.bg,0,онлайн,True,10,5.3,0,"['румен', 'радев', ':', 'броенето', 'на', 'гласовете', 'трябва', 'да', 'се', 'излъчва', 'онлайн']","['румен', 'радев', 'броенето', 'на', 'гласовете', 'трябва', 'да', 'се', 'излъчва', 'онлайн']",4,1,0,0
"тошко йорданов се появи пред президента с маска ""мутри вън!""",9/1/2021 11:11,1171,20,207,petel.bg,0,"вън!""",True,10,5.1,0,"['тошко', 'йорданов', 'се', 'появи', 'пред', 'президента', 'с', 'маска', '``', 'мутри', 'вън', '!', ""''""]","['тошко', 'йорданов', 'се', 'появи', 'пред', 'президента', 'с', 'маска', '', 'мутри', 'вън', '']",3,3,1,0
��недоволните искат оставка на правителството и главния прокурор👇,13-01-21 21:51,1122,43,34,mediapool.,0,прокурор👇,True,8,7.125,0,"['👉недоволните', 'искат', 'оставка', 'на', 'правителството', 'и', 'главния', 'прокурор👇']","['недоволните', 'искат', 'оставка', 'на', 'правителството', 'и', 'главния', 'прокурор']",2,0,0,0
"президентът румен радев се срещна с ""демократична българия"", ""има такъв народ"", ""изправи се. бг"" и ""отровното трио""",9/1/2021 15:16,1849,80,159,mediapool.,0,"трио""",True,17,5.823529412,0,"['президентът', 'румен', 'радев', 'се', 'срещна', 'с', '``', 'демократична', 'българия', ""''"", ',', '``', 'има', 'такъв', 'народ', ""''"", ',', '``', 'изправи', 'се', '.', 'бг', ""''"", 'и', '``', 'отровното', 'трио', ""''""]","['президентът', 'румен', 'радев', 'се', 'срещна', 'с', '', 'демократична', 'българия', '', '', 'има', 'такъв', 'народ', '', '', 'изправи', 'се', 'бг', '', 'и', '', 'отровното', 'трио', '']",6,11,0,0
‼мон принуди ректорите спешно да актуализират учебните си програми.,7/1/2021 17:42,889,139,89,mediapool.,0,програми.,True,9,6.555555556,0,"['‼мон', 'принуди', 'ректорите', 'спешно', 'да', 'актуализират', 'учебните', 'си', 'програми', '.']","['мон', 'принуди', 'ректорите', 'спешно', 'да', 'актуализират', 'учебните', 'си', 'програми']",2,1,0,0
"""глобата, която трябва да отнеса, нека бъде само за мен. личи си, че е обществено значимо нашето хоро"".",7/1/2021 12:22,677,4,38,mediapool.,0,"хоро"".",True,18,4.777777778,0,"['``', 'глобата', ',', 'която', 'трябва', 'да', 'отнеса', ',', 'нека', 'бъде', 'само', 'за', 'мен', '.', 'личи', 'си', ',', 'че', 'е', 'обществено', 'значимо', 'нашето', 'хоро', ""''"", '.']","['', 'глобата', 'която', 'трябва', 'да', 'отнеса', 'нека', 'бъде', 'само', 'за', 'мен', 'личи', 'си', 'че', 'е', 'обществено', 'значимо', 'нашето', 'хоро', '']",10,7,0,0
"юри ратас подаде оставка, въпреки че няма доказателства той да е участвал в схемата. по разследването за предоставяне на държавен заем на частен строителен проект бяха задържани четирима души от партията на премиера.",13-01-21 12:51,546,84,57,svobodnaev,0,премиера.,True,33,5.575757576,0,"['юри', 'ратас', 'подаде', 'оставка', ',', 'въпреки', 'че', 'няма', 'доказателства', 'той', 'да', 'е', 'участвал', 'в', 'схемата', '.', 'по', 'разследването', 'за', 'предоставяне', 'на', 'държавен', 'заем', 'на', 'частен', 'строителен', 'проект', 'бяха', 'задържани', 'четирима', 'души', 'от', 'партията', 'на', 'премиера', '.']","['юри', 'ратас', 'подаде', 'оставка', 'въпреки', 'че', 'няма', 'доказателства', 'той', 'да', 'е', 'участвал', 'в', 'схемата', 'по', 'разследването', 'за', 'предоставяне', 'на', 'държавен', 'заем', 'на', 'частен', 'строителен', 'проект', 'бяха', 'задържани', 'четирима', 'души', 'от', 'партията', 'на', 'премиера']",14,3,0,0
"при температури от минус 40 градуса по целзий единствените, които остават през зимата в село тумул в сибирския регион якутия, са местните фермери и семействата им. припомняме ви това видео от преди година.",11/1/2021 21:29,570,0,5,svobodnaev,0,година.,True,33,5.242424242,0,"['при', 'температури', 'от', 'минус', '40', 'градуса', 'по', 'целзий', 'единствените', ',', 'които', 'остават', 'през', 'зимата', 'в', 'село', 'тумул', 'в', 'сибирския', 'регион', 'якутия', ',', 'са', 'местните', 'фермери', 'и', 'семействата', 'им', '.', 'припомняме', 'ви', 'това', 'видео', 'от', 'преди', 'година', '.']","['при', 'температури', 'от', 'минус', '40', 'градуса', 'по', 'целзий', 'единствените', 'които', 'остават', 'през', 'зимата', 'в', 'село', 'тумул', 'в', 'сибирския', 'регион', 'якутия', 'са', 'местните', 'фермери', 'и', 'семействата', 'им', 'припомняме', 'ви', 'това', 'видео', 'от', 'преди', 'година']",15,4,0,0
